John's cars|123 Sugar St|712-232-2332
44990|2019|Kia|White|Sportage|SUV|31250|17995.00
44991|2011|Hyundai|Blue|Genesis|Sedan|125800|4595.00
44992|2018|Nissan|Silver|Rogue|SUV|48120|16995.00
44993|2013|Toyota|Black|Camry|Sedan|102400|7495.00
44994|2017|Ford|White|Transit Connect|Van|68120|15950.00
44995|2010|Honda|Gray|CR-Z|Coupe|139900|2795.00
44996|2014|Chevrolet|Red|Cruze|Sedan|98230|6790.00
44997|2015|Mazda|Black|Mazda5|Minivan|87210|7995.00
44998|2016|Volkswagen|Blue|Beetle|Coupe|74200|10995.00
44999|2012|Toyota|White|Venza|SUV|116400|6995.00
45000|2019|Honda|Silver|Insight|Hybrid|31200|18995.00
